experiment,fold,n_samples,tn,fp,fn,tp,source_file
patient_cnn_lstm,fold0,9153,7580,221,356,996,kfold_output/patient_cnn_lstm/fold_0/test_predictions.npz
patient_cnn_lstm,fold1,25824,20919,3617,1037,251,kfold_output/patient_cnn_lstm/fold_1/test_predictions.npz
patient_cnn_lstm,fold2,45701,40992,749,3222,738,kfold_output/patient_cnn_lstm/fold_2/test_predictions.npz
patient_cnn_lstm,fold3,19165,13307,3682,256,1920,kfold_output/patient_cnn_lstm/fold_3/test_predictions.npz
patient_cnn_lstm,fold4,14903,13147,196,1338,222,kfold_output/patient_cnn_lstm/fold_4/test_predictions.npz
patient_cnn_lstm_mediansmoothing,fold0,9153,7114,687,257,1095,kfold_output/patient_cnn_lstm_mediansmoothing/fold_0/test_predictions.npz
patient_cnn_lstm_mediansmoothing,fold1,25824,22766,1770,1182,106,kfold_output/patient_cnn_lstm_mediansmoothing/fold_1/test_predictions.npz
patient_cnn_lstm_mediansmoothing,fold2,45701,40431,1310,2818,1142,kfold_output/patient_cnn_lstm_mediansmoothing/fold_2/test_predictions.npz
patient_cnn_lstm_mediansmoothing,fold3,19165,13566,3423,296,1880,kfold_output/patient_cnn_lstm_mediansmoothing/fold_3/test_predictions.npz
patient_cnn_lstm_mediansmoothing,fold4,14903,13194,149,1335,225,kfold_output/patient_cnn_lstm_mediansmoothing/fold_4/test_predictions.npz
patient_feature_fusion,fold0,9153,7683,118,614,738,kfold_output/patient_feature_fusion/fold_0/test_predictions.npz
patient_feature_fusion,fold1,25824,19756,4780,1055,233,kfold_output/patient_feature_fusion/fold_1/test_predictions.npz
patient_feature_fusion,fold2,45701,40448,1293,3101,859,kfold_output/patient_feature_fusion/fold_2/test_predictions.npz
patient_feature_fusion,fold3,19165,11475,5514,196,1980,kfold_output/patient_feature_fusion/fold_3/test_predictions.npz
patient_feature_fusion,fold4,14903,12910,433,1271,289,kfold_output/patient_feature_fusion/fold_4/test_predictions.npz
patient_input_fusion,fold0,9153,7449,352,336,1016,kfold_output/patient_input_fusion/fold_0/test_predictions.npz
patient_input_fusion,fold1,25824,22757,1779,1234,54,kfold_output/patient_input_fusion/fold_1/test_predictions.npz
patient_input_fusion,fold2,45701,40507,1234,3380,580,kfold_output/patient_input_fusion/fold_2/test_predictions.npz
patient_input_fusion,fold3,19165,13465,3524,715,1461,kfold_output/patient_input_fusion/fold_3/test_predictions.npz
patient_input_fusion,fold4,14903,12736,607,1370,190,kfold_output/patient_input_fusion/fold_4/test_predictions.npz
seizure_cnn_lstm,fold0,255,184,7,12,52,kfold_output/seizure_cnn_lstm/fold_0/test_predictions.npz
seizure_cnn_lstm,fold1,840,687,33,58,62,kfold_output/seizure_cnn_lstm/fold_1/test_predictions.npz
seizure_cnn_lstm,fold2,1233,638,59,222,314,kfold_output/seizure_cnn_lstm/fold_2/test_predictions.npz
seizure_cnn_lstm,fold3,642,108,46,47,441,kfold_output/seizure_cnn_lstm/fold_3/test_predictions.npz
seizure_cnn_lstm,fold4,1092,974,30,62,26,kfold_output/seizure_cnn_lstm/fold_4/test_predictions.npz
seizure_cnn_lstm_4D,fold0,251,187,0,3,61,kfold_output/seizure_cnn_lstm_4D/fold_0/test_predictions.npz
seizure_cnn_lstm_4D,fold1,836,716,0,2,118,kfold_output/seizure_cnn_lstm_4D/fold_1/test_predictions.npz
seizure_cnn_lstm_4D,fold2,1229,693,0,4,532,kfold_output/seizure_cnn_lstm_4D/fold_2/test_predictions.npz
seizure_cnn_lstm_4D,fold3,638,150,0,2,486,kfold_output/seizure_cnn_lstm_4D/fold_3/test_predictions.npz
seizure_cnn_lstm_4D,fold4,1088,1000,0,3,85,kfold_output/seizure_cnn_lstm_4D/fold_4/test_predictions.npz
seizure_cnn_lstm_mediansmoothing,fold0,255,183,8,6,58,kfold_output/seizure_cnn_lstm_mediansmoothing/fold_0/test_predictions.npz
seizure_cnn_lstm_mediansmoothing,fold1,840,703,17,56,64,kfold_output/seizure_cnn_lstm_mediansmoothing/fold_1/test_predictions.npz
seizure_cnn_lstm_mediansmoothing,fold2,1233,660,37,228,308,kfold_output/seizure_cnn_lstm_mediansmoothing/fold_2/test_predictions.npz
seizure_cnn_lstm_mediansmoothing,fold3,642,131,23,24,464,kfold_output/seizure_cnn_lstm_mediansmoothing/fold_3/test_predictions.npz
seizure_cnn_lstm_mediansmoothing,fold4,1092,972,32,75,13,kfold_output/seizure_cnn_lstm_mediansmoothing/fold_4/test_predictions.npz
seizure_feature_fusion,fold0,255,171,20,15,49,kfold_output/seizure_feature_fusion/fold_0/test_predictions.npz
seizure_feature_fusion,fold1,840,694,26,53,67,kfold_output/seizure_feature_fusion/fold_1/test_predictions.npz
seizure_feature_fusion,fold2,1233,654,43,218,318,kfold_output/seizure_feature_fusion/fold_2/test_predictions.npz
seizure_feature_fusion,fold3,642,118,36,75,413,kfold_output/seizure_feature_fusion/fold_3/test_predictions.npz
seizure_feature_fusion,fold4,1092,946,58,61,27,kfold_output/seizure_feature_fusion/fold_4/test_predictions.npz
seizure_input_fusion,fold0,255,176,15,11,53,kfold_output/seizure_input_fusion/fold_0/test_predictions.npz
seizure_input_fusion,fold1,840,713,7,108,12,kfold_output/seizure_input_fusion/fold_1/test_predictions.npz
seizure_input_fusion,fold2,1233,674,23,413,123,kfold_output/seizure_input_fusion/fold_2/test_predictions.npz
seizure_input_fusion,fold3,642,133,21,200,288,kfold_output/seizure_input_fusion/fold_3/test_predictions.npz
seizure_input_fusion,fold4,1092,900,104,73,15,kfold_output/seizure_input_fusion/fold_4/test_predictions.npz
